Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0249506925964693,0.000802919403175578,0.0012439306105544,0,0,0,7.26047859890048,0.0292646348309762,-6.61041740133105E-07,-0.000306768289560029,0.0254632382004688,-1.4097997623052E-07,0.0416108599621395,0,0,0,0,0,0,package://jamal2_v5/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jamal2_v5/meshes/base_link.STL,,torso-1;lidar mount assembly-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_hip_link,-0.00339550828476409,-0.000904087285408195,-3.93218339349122E-05,0,0,0,0.900002770537192,0.000702439643568085,1.25032111453368E-06,-7.25541644458934E-07,0.000929663974260124,-9.35472930100196E-07,0.000676322470473343,0,0,0,0,0,0,package://jamal2_v5/meshes/lf_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jamal2_v5/meshes/lf_hip_link.STL,,hip_linkv3-3,Origin_lf_hip_joint,Axis_lf_hip_joint,lf_hip_joint,revolute,0.2709,0.0804499999999991,0,0,0,0,base_link,1,0,0,60,5.02,-1.57,1.57,,,1,1,,,,
lf_upper_leg_link,-0.000671046034244019,-0.0302253641306092,-0.0144678808109222,0,0,0,1.29999985865583,0.00228667098156523,-2.75612379936843E-06,-7.98320755954416E-05,0.00273760022612408,4.20525016351804E-06,0.000958847609190241,0,0,0,0,0,0,package://jamal2_v5/meshes/lf_upper_leg_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jamal2_v5/meshes/lf_upper_leg_link.STL,,upper_link_left-1,Origin_lf_upper_leg_joint,Axis_lf_upper_leg_joint,lf_upper_leg_joint,revolute,0,0.10705,0,0,0,0,lf_hip_link,0,1,0,60,5.02,-1.57,1.57,,,1,1,,,,
lf_lower_leg_link,0.0103069670980445,8.8674414934875E-05,-0.0839291622348222,0,0,0,0.0373000149613731,0.000120718040828395,-3.88196478976417E-09,1.85607542062846E-05,0.000125474349450579,4.28401025061769E-08,5.28907618063082E-06,0,0,0,0,0,0,package://jamal2_v5/meshes/lf_lower_leg_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jamal2_v5/meshes/lf_lower_leg_link.STL,,lower leg assmbly-1,Origin_lf_lower_leg_joint,Axis_lf_lower_leg_joint,lf_lower_leg_joint,revolute,0.00167691666386546,0,-0.22499375091434,0,0,0,lf_upper_leg_link,0,1,0,60,5.02,-1.57,1.57,,,1,1,,,,
lf_foot_link,0.00893731403573057,5.86075363651073E-06,0.0227015493807513,0,0,0,0.0320640218816045,8.73125964316527E-06,-1.65796640031417E-10,-1.69245789070137E-06,9.25983103755414E-06,-3.63256343398149E-09,4.39468266198181E-06,0,0,0,0,0,0,package://jamal2_v5/meshes/lf_foot_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jamal2_v5/meshes/lf_foot_link.STL,,foot-1,Origin_lf_foot_joint,Axis_lf_foot_joint,lf_foot_joint,fixed,-0.00157691666386468,5.00000000003276E-05,-0.24800624908566,0,0,0,lf_lower_leg_link,0,0,0,,,,,,,,,,,,
lh_hip_link,0.00339550828476404,-0.0009040872854085,3.93218339348513E-05,0,0,0,0.900002770537192,0.000702439643568084,-1.25032111453371E-06,-7.25541644458905E-07,0.000929663974260124,9.3547293009956E-07,0.000676322470473343,0,0,0,0,0,0,package://jamal2_v5/meshes/lh_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jamal2_v5/meshes/lh_hip_link.STL,,hip_linkv3-2,Origin_lh_hip_joint,Axis_lh_hip_joint,lh_hip_joint,revolute,-0.2689,0.0804500000000009,0,0,0,0,base_link,1,0,0,60,5.02,-1.57,1.57,,,1,1,,,,
lh_upper_leg_link,-0.000671046033593636,-0.0302253641290889,-0.0144678808132316,0,0,0,1.29999985870782,0.00228667098156876,-2.75612379928294E-06,-7.98320755990536E-05,0.00273760022615098,4.20525016309035E-06,0.000958847609213723,0,0,0,0,0,0,package://jamal2_v5/meshes/lh_upper_leg_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jamal2_v5/meshes/lh_upper_leg_link.STL,,upper_link_left-2,Origin_lh_upper_leg_joint,Axis_lh_upper_leg_joint,lh_upper_leg_joint,revolute,0,0.10705,0,0,0,0,lh_hip_link,0,1,0,60,5.02,-1.57,1.57,,,1,1,,,,
lh_lower_leg_link,0.0126339989859747,8.86744077252255E-05,-0.0839238523331708,0,0,0,0.0373000149976337,0.000120718040315172,-3.881963654258E-09,1.85607542316558E-05,0.000125474348953854,4.28400179256088E-08,5.28907618790691E-06,0,0,0,0,0,0,package://jamal2_v5/meshes/lh_lower_leg_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jamal2_v5/meshes/lh_lower_leg_link.STL,,lower leg assmbly-3,Origin_lh_lower_leg_joint,Axis_lh_lower_leg_joint,lh_lower_leg_joint,revolute,-0.000650115239932358,0,-0.224999060776206,0,0,0,lh_upper_leg_link,0,1,0,60,5.02,-1.57,1.57,,,1,1,,,,
lh_foot_link,0.00913734597626592,5.88313199131885E-06,0.0227015939594583,0,0,0,0.0320638174515656,8.73122748394013E-06,-1.66616420524376E-10,-1.69244980389252E-06,9.25979243437323E-06,-3.63287907920186E-09,4.39464293100557E-06,0,0,0,0,0,0,package://jamal2_v5/meshes/lh_foot_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jamal2_v5/meshes/lh_foot_link.STL,,foot-4,Origin_lh_foot_joint,Axis_lh_foot_joint,lh_foot_joint,fixed,0.000550115239932258,5.00000000001888E-05,-0.248000939223794,0,0,0,lh_lower_leg_link,0,0,0,,,,,,,,,,,,
rf_hip_link,-0.00339550828476406,0.000904087285408264,3.93218339347566E-05,0,0,0,0.900002770537192,0.000702439643568084,-1.25032111453343E-06,7.2554164445892E-07,0.000929663974260123,-9.35472930099867E-07,0.000676322470473343,0,0,0,0,0,0,package://jamal2_v5/meshes/rf_hip_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://jamal2_v5/meshes/rf_hip_link.STL,,hip_linkv3-4,Origin_rf_hip_joint,Axis_rf_hip_joint,rf_hip_joint,revolute,0.2709,-0.080450000000001,0,0,0,0,base_link,1,0,0,60,5.02,-1.57,1.57,,,1,1,,,,
